date,followers,followers_growth,username,channel,link_profile
2019-06-01,37553,8,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-02,37565,12,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-03,37557,-8,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-04,37572,15,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-05,37575,3,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-06,37585,10,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-07,37585,0,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-08,37598,13,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-09,37578,-20,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-10,37586,8,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-11,37597,11,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-12,37599,2,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-13,37610,11,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-14,37641,31,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-15,37637,-4,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-16,37663,26,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-17,37697,34,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-18,37825,128,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-19,37883,58,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-20,37914,31,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-21,37943,29,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-22,37961,18,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-23,37970,9,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-24,37981,11,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-25,38003,22,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
2019-06-26,38028,25,purwadhikaschool,Instagram,https://www.instagram.com/purwadhikaschool
